name,iso_3166_2
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Georgia,GA
Illinois,IL
Indiana,IN
Louisiana,LA
Minnesota,MN
Mississippi,MS
Montana,MT
New Mexico,NM
North Dakota,ND
Oklahoma,OK
Pennsylvania,PA
Tennessee,TN
Virginia,VA
Delaware,DE
West Virginia,WV
Wisconsin,WI
Wyoming,WY
Alabama,AL
Florida,FL
Idaho,ID
Kansas,KS
Maryland,MD
New Jersey,NJ
North Carolina,NC
South Carolina,SC
Washington,WA
Vermont,VT
Utah,UT
Iowa,IA
Kentucky,KY
Maine,ME
Massachusetts,MA
Michigan,MI
Missouri,MO
Nebraska,NE
Nevada,NV
New Hampshire,NH
New York,NY
Ohio,OH
Oregon,OR
Rhode Island,RI
South Dakota,SD
Texas,TX
Alaska,AK
Hawaii,HI